timestamp(ms), keypressed
18:09:48:685134,i
18:09:48:826228,i
18:09:50:589497,j
18:09:50:687236,j
18:09:54:730437,k
18:09:54:906952,k
18:09:56:748030,;
18:09:56:939517,;
18:10:00:321475,k
18:10:00:493019,k
18:10:02:887906,l
18:10:03:047564,l
18:10:05:565223,k
18:10:05:716563,k
18:10:08:472957,j
18:10:08:657636,j
18:10:11:799043,;
18:10:12:008883,;
18:10:14:631221,;
18:10:14:828315,;
18:10:17:901806,k
18:10:18:065308,k
18:10:20:921945,;
18:10:21:128636,;
18:10:23:665126,l
18:10:23:833807,l
18:10:26:641992,l
18:10:26:801799,l
18:10:29:662606,;
18:10:29:828962,;
18:10:32:949344,k
18:10:33:145493,k
18:10:35:824119,;
18:10:35:992288,;
18:10:38:560543,;
18:10:38:742718,;
18:10:42:426256,i
18:10:42:623064,i
18:10:44:819294,l
18:10:45:024382,l
18:10:47:713781,;
18:10:47:947360,;
18:10:50:928620,l
18:10:51:075402,l
18:10:53:599979,k
18:10:53:760962,k
18:10:56:622671,k
18:10:56:853339,k
18:10:59:598192,l
18:10:59:820988,l
18:11:02:736606,j
18:11:02:884469,j
18:11:05:577296,j
18:11:05:720311,j
18:11:08:630870,l
18:11:08:834632,l
18:11:11:685776,;
18:11:11:898135,;
18:11:14:959294,k
18:11:15:103719,k
